epoch,train_loss,val_loss,mean_pseudo_dice,epoch_time_seconds
431,-0.8058,-0.8026,0.871975,122.16
432,-0.7947,-0.7544,0.849525,122.35
433,-0.807,-0.7739,0.85345,122.42
434,-0.8001,-0.7991,0.8790875,122.39
435,-0.8107,-0.8121,0.8888625,122.2
436,-0.8071,-0.7973,0.8652125,122.07
437,-0.7969,-0.7542,0.8484,122.08
438,-0.7976,-0.8099,0.8842,122.07
439,-0.7979,-0.7978,0.8685,122.11
440,-0.7931,-0.7992,0.86785,122.11
441,-0.7969,-0.8153,0.874525,122.39
442,-0.8042,-0.7975,0.8769375,122.41
443,-0.8072,-0.7695,0.8666375000000001,122.33
444,-0.8085,-0.8025,0.8785875000000001,122.09
445,-0.8178,-0.8157,0.8868,122.14
446,-0.8064,-0.8016,0.8843875,122.22
447,-0.7929,-0.7796,0.868975,122.38
448,-0.8029,-0.7707,0.83665,122.33
449,-0.8065,-0.8037,0.880425,122.23
450,-0.8148,-0.8059,0.881725,122.08
451,-0.8082,-0.7768,0.8567875,122.08
452,-0.804,-0.7897,0.86735,122.11
453,-0.7926,-0.7797,0.884675,122.12
454,-0.7935,-0.7671,0.863575,122.06
455,-0.797,-0.7745,0.8614999999999999,122.34
456,-0.7943,-0.7683,0.833025,122.37
457,-0.8021,-0.806,0.8803625,122.41
458,-0.8024,-0.8069,0.8778625,122.11
459,-0.7943,-0.8119,0.8798375,122.12
460,-0.7972,-0.7739,0.855475,122.2
461,-0.8004,-0.7586,0.8468875,122.39
462,-0.7933,-0.7991,0.8624,122.35
463,-0.7987,-0.7977,0.8816875,122.36
464,-0.8003,-0.8099,0.8813875,122.14
465,-0.7999,-0.7908,0.8788875,122.08
466,-0.805,-0.7992,0.8766125,122.11
467,-0.8011,-0.8061,0.8735875,122.16
468,-0.7969,-0.7954,0.8738875,122.11
469,-0.7966,-0.774,0.8491375,122.26
470,-0.8031,-0.7894,0.8783375,122.4
471,-0.8028,-0.8076,0.874425,122.38
472,-0.8022,-0.7964,0.8799125,122.2
473,-0.8026,-0.7914,0.8786875000000001,122.13
474,-0.807,-0.8093,0.880925,122.1
475,-0.7956,-0.794,0.8665,122.33
476,-0.8008,-0.7904,0.8648,122.45
477,-0.8024,-0.8097,0.885925,122.36
478,-0.8116,-0.7876,0.8501125,122.12
479,-0.7907,-0.7977,0.883825,122.09
480,-0.8113,-0.7834,0.8690125,122.09
481,-0.8079,-0.8183,0.8865375,122.12
482,-0.8034,-0.7599,0.8481875,122.15
483,-0.8036,-0.802,0.8797625,122.19
484,-0.7892,-0.8107,0.8755,122.42
485,-0.8027,-0.8115,0.8865875,122.43
486,-0.7849,-0.8049,0.8707125,122.26
487,-0.8111,-0.8089,0.880725,122.08
488,-0.7967,-0.7926,0.8735499999999999,122.1
489,-0.8059,-0.8148,0.8795999999999999,122.26
490,-0.809,-0.7905,0.8584125,122.44
491,-0.8163,-0.8269,0.8837125,122.43
492,-0.8106,-0.7858,0.8682125,122.23
493,-0.7971,-0.7939,0.8771,122.11
494,-0.8025,-0.772,0.8685125,122.11
495,-0.8029,-0.7983,0.8713,122.13
496,-0.8029,-0.8018,0.8829125,122.06
497,-0.8065,-0.7926,0.8716875,122.11
498,-0.8137,-0.8034,0.8725375,122.34
499,-0.805,-0.7924,0.871075,122.41
500,-0.8051,-0.7992,0.8818625,122.42
501,-0.8125,-0.8144,0.8872,122.1
502,-0.8074,-0.8182,0.882925,122.14
503,-0.8118,-0.7978,0.87835,122.21
504,-0.7949,-0.8067,0.8772125000000001,122.73
505,-0.801,-0.7981,0.88005,122.7
506,-0.7973,-0.8014,0.8682125,122.37
507,-0.8022,-0.7974,0.883825,122.1
508,-0.8019,-0.8148,0.8756875,122.09
509,-0.8191,-0.81,0.871675,122.09
510,-0.8065,-0.8045,0.875525,122.07
511,-0.8061,-0.7606,0.83955,122.11
512,-0.7998,-0.792,0.8587375,122.4
513,-0.7947,-0.8003,0.8830375,122.39
514,-0.7953,-0.8019,0.8708,122.39
515,-0.8093,-0.795,0.8550125,122.15
516,-0.7949,-0.8012,0.8877125,122.13
517,-0.8112,-0.8253,0.8964,122.18
518,-0.7996,-0.7964,0.87345,122.46
519,-0.8054,-0.8081,0.8775999999999999,122.43
520,-0.804,-0.7997,0.8679625,122.34
521,-0.8079,-0.7894,0.8587625,122.11
522,-0.7989,-0.8093,0.8791125,122.13
523,-0.812,-0.79,0.8667625,122.1
524,-0.8171,-0.7783,0.86765,122.08
525,-0.8161,-0.7899,0.8506625,122.16
526,-0.8057,-0.8018,0.8736,122.26
527,-0.8126,-0.7879,0.8796375000000001,122.45
528,-0.8096,-0.7995,0.8715875,122.4
529,-0.8154,-0.7971,0.8756625,122.21
530,-0.8012,-0.81,0.8795875,122.11
531,-0.8069,-0.777,0.8649625,122.14
532,-0.7994,-0.8056,0.8752625,122.37
533,-0.8093,-0.8048,0.8766125,122.44
534,-0.7958,-0.8079,0.8787125,122.43
535,-0.8102,-0.8051,0.87975,122.14
536,-0.8113,-0.8171,0.8873,122.11
537,-0.8045,-0.8005,0.8733875,122.12
538,-0.8141,-0.809,0.8660125,122.08
539,-0.8167,-0.8154,0.8784,122.07
540,-0.811,-0.8145,0.8749125,122.17
541,-0.8166,-0.7999,0.8772,122.35
542,-0.8052,-0.818,0.8874,122.38
543,-0.8193,-0.8038,0.87465,122.24
544,-0.8019,-0.8052,0.8749125,122.13
545,-0.8062,-0.8068,0.8808875,122.12
546,-0.8052,-0.8114,0.88325,122.26
547,-0.8144,-0.8198,0.8898625,122.39
548,-0.8057,-0.7928,0.8757375,122.49
549,-0.8185,-0.8164,0.883725,122.24
550,-0.814,-0.8126,0.8784125,122.35
551,-0.8075,-0.8097,0.884775,122.16
552,-0.8186,-0.8235,0.8821875,122.13
553,-0.798,-0.7814,0.8645,122.07
554,-0.7941,-0.7759,0.8485,122.11
555,-0.8036,-0.7903,0.8752125,122.43
556,-0.8022,-0.7825,0.844925,122.36
557,-0.8056,-0.8153,0.8832625000000001,122.31
558,-0.8248,-0.8026,0.8837625,122.08
559,-0.8161,-0.8012,0.87625,122.1
560,-0.8107,-0.8102,0.8905125,122.2
561,-0.8198,-0.8147,0.882525,122.41
562,-0.8063,-0.8041,0.882725,122.36
563,-0.8093,-0.7846,0.84705,122.3
564,-0.7936,-0.8177,0.8836375,122.15
565,-0.8148,-0.798,0.8680375,122.11
566,-0.8048,-0.825,0.891925,122.06
567,-0.8032,-0.8054,0.879525,122.11
568,-0.7989,-0.7965,0.8736125,122.06
569,-0.8082,-0.7877,0.878375,122.44
570,-0.8043,-0.7796,0.842925,122.47
571,-0.8123,-0.8146,0.8935875,122.49
572,-0.8132,-0.7966,0.8699625,122.22
573,-0.8217,-0.8085,0.875875,122.19
574,-0.8213,-0.7971,0.8724125,122.12
575,-0.8018,-0.7907,0.8721,122.44
576,-0.8093,-0.7813,0.8685125,122.43
577,-0.8019,-0.7872,0.855525,122.41
578,-0.815,-0.8104,0.88385,122.1
579,-0.8175,-0.7866,0.8616125,122.13
580,-0.8061,-0.8002,0.871425,122.16
